Source path,Class name,Signature,Checksum,Description,Return value description,Technique 1,Technique 2,Technique 3,Inference time (ms),Input tokens,Output tokens
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,"org.springframework.samples.petclinic.owner.OwnerController{name=processUpdateOwnerForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.validation.BindingResult,int,org.springframework.web.servlet.mvc.support.RedirectAttributes]}",cbf4e397b3f5c396040b09fb34e744bbe426f69ef70dc12f0dd42a32a7d2d4cb,"Processes the submission of an owner update form, validates the input, checks for ID mismatches, saves the updated owner data, and redirects to the owner's detail page with appropriate success or error messages.",Returns a redirect URL string to either the owner edit form (on validation errors) or the owner detail page (on successful update).,HTTP POST request handling,Form validation with binding result,Flash attributes for message passing,1848,665,159
src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,"org.springframework.samples.petclinic.owner.OwnerController{name=showOwner,return=org.springframework.web.servlet.ModelAndView,parameters=[int]}",f1109f7ec806ba0bb2f9fc6a7271b12c9c9795455f040125a9dae40cad67546a,"Retrieves and displays an owner's details by their ID, returning a view model containing the owner information.",A ModelAndView object that contains the owner details and specifies the view template to render.,Database query to fetch owner by ID,HTTP GET request handling,View rendering with model attributes,1103,566,107
src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java,org.springframework.samples.petclinic.owner.OwnerRepository,"org.springframework.samples.petclinic.owner.OwnerRepository{name=findByLastNameStartingWith,return=org.springframework.data.domain.Page<org.springframework.samples.petclinic.owner.Owner>,parameters=[java.lang.String,org.springframework.data.domain.Pageable]}",a07a0fa366eff6ece4e7678d178c5748c3b84c560e6e3eeb1e2628e7fced1f9b,"Retrieves owners from the data store whose last name starts with the given search value, returning paginated results.","A Page containing matching Owner entities, or an empty Page if no matches are found",Database query execution,Pagination support,,1306,473,106
src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java,org.springframework.samples.petclinic.owner.OwnerRepository,"org.springframework.samples.petclinic.owner.OwnerRepository{name=findById,return=java.util.Optional<org.springframework.samples.petclinic.owner.Owner>,parameters=[java.lang.Integer]}",c79014d0d7a45682a4135f67f5089d4f694d316729348bbc71906705c0c56a2e,Retrieves an Owner entity from the data store by its unique identifier.,"An Optional containing the Owner if found, or an empty Optional if no Owner exists with the provided ID.",Database query by ID,,,1164,498,86
src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,"org.springframework.samples.petclinic.owner.Pet{name=addVisit,return=void,parameters=[org.springframework.samples.petclinic.owner.Visit]}",203c4f52ff25c7698af198012b3b3aa7df1f1d713493518f863a57d30b2db4fa,Adds a visit to the collection of visits.,void - no value is returned,Collection manipulation,,,831,372,65
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,"org.springframework.samples.petclinic.owner.PetController{name=populatePetTypes,return=java.util.Collection<org.springframework.samples.petclinic.owner.PetType>,parameters=[]}",f1fe080a3a5bfb14b3ee4586ebdf20b2ba31931d720b7b640a8b98d3313909a4,Retrieves all pet types from the repository and makes them available as a model attribute for use in web views.,A collection of PetType objects representing all available pet types in the system.,Spring MVC ModelAttribute annotation to expose data to web views,Repository pattern for data access,,1507,426,116
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,"org.springframework.samples.petclinic.owner.PetController{name=findOwner,return=org.springframework.samples.petclinic.owner.Owner,parameters=[int]}",81f22111418388078d75f6bffc3de3c15c31f2428e2be3ffbf006df915b4b403,Retrieves an owner by their ID from the repository and makes it available as a model attribute for the web request.,An Owner object representing the owner with the specified ID.,Database query via repository,HTTP path variable binding,Model attribute population,1393,491,124
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,"org.springframework.samples.petclinic.owner.PetController{name=findPet,return=org.springframework.samples.petclinic.owner.Pet,parameters=[int,java.lang.Integer]}",97558774a4641ed95f21a7619a33b1564935d6f8930ea7bebf7ad51d5e871487,"Retrieves a pet object based on owner ID and pet ID, or returns a new empty pet if no pet ID is provided.","A Pet object representing the requested pet, or a new empty Pet object if petId is null.",Database query through OwnerRepository to find owner by ID,Exception handling for missing owner records,,1538,551,125
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,"org.springframework.samples.petclinic.owner.PetController{name=initOwnerBinder,return=void,parameters=[org.springframework.web.bind.WebDataBinder]}",8a9f2b7a04249453babe9349f8069548d0599dac89eebe4fa2837d87ce3af307,Prevents the 'id' field from being automatically bound to the 'owner' object during web request processing.,void,Spring Web Data Binding,,,964,398,75
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,"org.springframework.samples.petclinic.owner.PetController{name=initPetBinder,return=void,parameters=[org.springframework.web.bind.WebDataBinder]}",2983e2da5410bc6754685c73c01e4e6c35a1c31a35b5676df2d24ad8e2a90c52,Configures a WebDataBinder to use PetValidator for validating pet data during form binding operations.,void,Spring Web MVC data binding,Custom validator registration,,1127,413,92
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,"org.springframework.samples.petclinic.owner.PetController{name=initCreationForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.ui.ModelMap]}",bc5384cdd553b42fe2a6cbd093a9fee9d9cc18521d3a0e14ea2e14df0cbb67d2,"Initializes a new pet creation form by creating a new Pet object, adding it to the specified Owner, and returning the view name for the pet creation or update form.",Returns the view name string for the pet creation or update form.,Spring MVC controller method,HTTP GET endpoint mapping,Model-view-controller pattern,1641,446,140
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,"org.springframework.samples.petclinic.owner.PetController{name=processCreationForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.Pet,org.springframework.validation.BindingResult,org.springframework.web.servlet.mvc.support.RedirectAttributes]}",b1b34366b2c9f97d50ad4e1e557ba14ed1d9ca74fc27426f571b17563e9d66b2,"Processes a new pet creation form submission by validating the pet data, checking for duplicates, and saving the pet to the owner's record if validation passes.","Returns the view name for the pet creation form if validation fails, or a redirect URL to the owner's detail page if successful.",Form validation with binding result,Database save operation,HTTP redirect with flash attributes,1767,671,148
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,"org.springframework.samples.petclinic.owner.PetController{name=initUpdateForm,return=java.lang.String,parameters=[]}",b472d423b52200a7ce2482525eeb2611b9a20ba4f70318b3ce941fc3ca2b625b,Returns the view name for displaying a form to edit a pet with the specified ID.,The name of the view template that displays the pet editing form.,HTTP GET request handling,URL path parameter binding,,1310,387,101
src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,"org.springframework.samples.petclinic.owner.PetController{name=processUpdateForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.Pet,org.springframework.validation.BindingResult,org.springframework.web.servlet.mvc.support.RedirectAttributes]}",88325464dc9774be3411cf63947dd0d68e14b3560d3505ec8b8d1bd38d7579e4,"Processes a form submission to update pet details, validates the input data, checks for duplicate pet names, ensures the birth date is not in the future, and either redirects to an edit form with errors or updates the pet information and redirects to the owner's page.","Returns a view name for the edit form if validation fails, or a redirect URL to the owner's page when the update is successful.",HTTP POST request handling,Input validation and error handling,Data persistence through updatePetDetails method,1983,688,174
src/main/java/org/springframework/samples/petclinic/owner/PetTypeFormatter.java,org.springframework.samples.petclinic.owner.PetTypeFormatter,"org.springframework.samples.petclinic.owner.PetTypeFormatter{name=print,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.PetType,java.util.Locale]}",50ee970ddff9b91519645392ec68bc22bded52f2e7a3cfe637b48d2e47cb5ae1,"Returns the name of a pet type, or a placeholder string if the name is null.","A string representing the pet type's name, or '<null>' if the name is null.",,,,818,394,65
src/main/java/org/springframework/samples/petclinic/owner/PetTypeFormatter.java,org.springframework.samples.petclinic.owner.PetTypeFormatter,"org.springframework.samples.petclinic.owner.PetTypeFormatter{name=parse,return=org.springframework.samples.petclinic.owner.PetType,parameters=[java.lang.String,java.util.Locale]}",9651c78bd965f54e92cf590e41612a5665a23edc4789f7cd5e7b4dabed21e1e8,"Finds and returns a pet type by matching the provided text against pet type names, throwing an exception if no match is found.","Returns the PetType object that matches the provided text, or throws a ParseException if no matching pet type is found.",Repository pattern for data access,Collection iteration for searching,,1449,482,121
src/main/java/org/springframework/samples/petclinic/owner/PetTypeRepository.java,org.springframework.samples.petclinic.owner.PetTypeRepository,"org.springframework.samples.petclinic.owner.PetTypeRepository{name=findPetTypes,return=java.util.List<org.springframework.samples.petclinic.owner.PetType>,parameters=[]}",bdcc25ef31ca1e71ab7b5ae68a81cc2d80d17e994a7ad4f1ec9e5f97c93f01b3,Retrieves all PetType entities from the data store and returns them as a sorted collection.,A Collection of PetType objects ordered by their name.,JPA Query,,,1010,426,78
src/main/java/org/springframework/samples/petclinic/owner/PetValidator.java,org.springframework.samples.petclinic.owner.PetValidator,"org.springframework.samples.petclinic.owner.PetValidator{name=validate,return=void,parameters=[java.lang.Object,org.springframework.validation.Errors]}",7009e989dfcf79b91b987ca2d35d193fb623a835fb17336d537078e75a23f21b,"Validates a Pet object by checking if its name, type (for new pets), and birth date are properly set, adding validation errors when any required field is missing.",void,Spring Validation Framework,Object casting and field access,Error collection and reporting,1460,515,127
src/main/java/org/springframework/samples/petclinic/owner/PetValidator.java,org.springframework.samples.petclinic.owner.PetValidator,"org.springframework.samples.petclinic.owner.PetValidator{name=supports,return=boolean,parameters=[java.lang.Class<Generic{?}>]}",ff790104505e7628c27c7f8c6efc128674dfc985b2fca838496a4cdeb77e3a42,Determines whether the validator can validate instances of a given class by checking if the class is assignable from Pet.,"Returns true if the given class is Pet or a subclass of Pet, otherwise returns false.",,,,861,391,69
src/main/java/org/springframework/samples/petclinic/owner/VisitController.java,org.springframework.samples.petclinic.owner.VisitController,"org.springframework.samples.petclinic.owner.VisitController{name=loadPetWithVisit,return=org.springframework.samples.petclinic.owner.Visit,parameters=[int,int,java.util.Map<java.lang.String, java.lang.Object>]}",3876414d70494df3dfb8693c5b9d29a7c3ccd3de69d3b54ea3f87083a35d28d2,"Loads a pet with its associated visit for a given owner and pet ID, ensuring fresh data and proper object initialization before handling request mappings.",A new Visit object that has been added to the pet's visits collection.,Database query through OwnerRepository to find owner by ID,Object relationship navigation to retrieve pet from owner,Model attribute binding to make pet and owner available in request scope,1693,696,151
src/main/java/org/springframework/samples/petclinic/owner/VisitController.java,org.springframework.samples.petclinic.owner.VisitController,"org.springframework.samples.petclinic.owner.VisitController{name=initNewVisitForm,return=java.lang.String,parameters=[]}",f4294df7ec2cbc3ce483b2c3d6982e801d261baf8810d62bdd8dbd62a678163e,Prepares and returns the view for creating or updating a visit form for a specific pet owned by a specific owner.,Returns the logical view name 'pets/createOrUpdateVisitForm' which will be resolved to an actual view template.,HTTP GET request handling,URL path parameter mapping,View resolution,1482,409,135
src/main/java/org/springframework/samples/petclinic/owner/VisitController.java,org.springframework.samples.petclinic.owner.VisitController,"org.springframework.samples.petclinic.owner.VisitController{name=processNewVisitForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,int,org.springframework.samples.petclinic.owner.Visit,org.springframework.validation.BindingResult,org.springframework.web.servlet.mvc.support.RedirectAttributes]}",bcbcf65a9a0e723c70ef995bc9850d9e5f1771a7c5c9b806abfe156609ed0373,"Processes a new visit form submission for a pet, validates the input, saves the visit to the database, and redirects the user back to the owner's page with a success message.",Returns a redirect URL string to the owner's page or the visit form view depending on validation results.,HTTP POST request handling,Data validation with binding result,Database persistence through repository pattern,1583,617,149
src/main/java/org/springframework/samples/petclinic/system/CacheConfiguration.java,org.springframework.samples.petclinic.system.CacheConfiguration,"org.springframework.samples.petclinic.system.CacheConfiguration{name=petclinicCacheConfigurationCustomizer,return=org.springframework.boot.cache.autoconfigure.JCacheManagerCustomizer,parameters=[]}",d571c1431b181d4195105fd021624730eb71031544da63ed49cb2a7e575d5b46,Configures a cache named 'vets' with a specific cache configuration in the JCache manager.,Returns a JCacheManagerCustomizer bean that customizes the cache manager configuration.,Spring Bean definition,JCache configuration,,1190,408,105
src/main/java/org/springframework/samples/petclinic/system/CrashController.java,org.springframework.samples.petclinic.system.CrashController,"org.springframework.samples.petclinic.system.CrashController{name=triggerException,return=java.lang.String,parameters=[]}",538243ba9c44abe00a3d848314d464df5ecab3693759769a16d519fcdad0ae2f,Triggers an exception to demonstrate error handling behavior in the application.,String,HTTP GET request mapping,,,870,394,65
src/main/java/org/springframework/samples/petclinic/system/WebConfiguration.java,org.springframework.samples.petclinic.system.WebConfiguration,"org.springframework.samples.petclinic.system.WebConfiguration{name=localeResolver,return=org.springframework.web.servlet.LocaleResolver,parameters=[]}",03f1d8bbb55c914d8f8185a0f5c18f88c2ac38a7a9ef843c5e7ee20474eba328,Configures a locale resolver that stores user language preferences in session storage and defaults to English when no preference is set.,A SessionLocaleResolver instance configured to use English as the default locale.,Session storage for user preferences,Default locale configuration,,1241,461,108
src/main/java/org/springframework/samples/petclinic/system/WebConfiguration.java,org.springframework.samples.petclinic.system.WebConfiguration,"org.springframework.samples.petclinic.system.WebConfiguration{name=localeChangeInterceptor,return=org.springframework.web.servlet.i18n.LocaleChangeInterceptor,parameters=[]}",4395aac2cf9e67ccda18da2503e8011dc67028d50d840f64ea46f82620a1a3c6,Creates and configures a locale change interceptor that allows switching application languages via URL parameters.,A configured LocaleChangeInterceptor that handles language switching through 'lang' URL parameters.,Spring Bean configuration,URL parameter handling,Internationalization (i18n) support,1384,450,126
src/main/java/org/springframework/samples/petclinic/system/WebConfiguration.java,org.springframework.samples.petclinic.system.WebConfiguration,"org.springframework.samples.petclinic.system.WebConfiguration{name=addInterceptors,return=void,parameters=[org.springframework.web.servlet.config.annotation.InterceptorRegistry]}",34b8732a71e6fe0cf12129721683b500fe8890f7950b1731da8afae20123607b,Registers a locale change interceptor to handle internationalization by detecting and processing locale changes on each incoming HTTP request.,void,HTTP request interception,Spring MVC interceptor registration,,1043,408,92
src/main/java/org/springframework/samples/petclinic/system/WelcomeController.java,org.springframework.samples.petclinic.system.WelcomeController,"org.springframework.samples.petclinic.system.WelcomeController{name=welcome,return=java.lang.String,parameters=[]}",d3c896b64ee93f2f857d45eddeddbe9842ef33b86c5ed959f6006eb05a6702b7,Returns a welcome message for the root path of the application.,A string representing the view name "welcome".,Spring MVC controller mapping,HTTP GET request handling,,1041,367,94
src/main/java/org/springframework/samples/petclinic/vet/Vet.java,org.springframework.samples.petclinic.vet.Vet,"org.springframework.samples.petclinic.vet.Vet{name=addSpecialty,return=void,parameters=[org.springframework.samples.petclinic.vet.Specialty]}",760d0619126f6cefde499503b0102f6a71556f9d610641645f22a9a20ba86aa6,Adds a veterinary specialty to the internal collection of specialties.,void,,,,568,377,41
src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,"org.springframework.samples.petclinic.vet.VetController{name=showVetList,return=java.lang.String,parameters=[int,org.springframework.ui.Model]}",d28e61a3ca29cbf2f6d18e2bf512666a6f13f565bdc7c7d49cadb71b1826136f,Retrieves a paginated list of veterinarians and adds pagination information to the model for display in a web view.,Returns the name of the view template ('vets.html') to render the veterinarian list.,Spring MVC web request mapping,Spring Data JPA pagination,Spring MVC model attribute binding,1390,541,133
src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,"org.springframework.samples.petclinic.vet.VetController{name=showResourcesVetList,return=org.springframework.samples.petclinic.vet.Vets,parameters=[]}",4f935184c7bd4a4bd6b043e2c6f12cf6adcb3111f3729d513535a65bdb80cd33,Retrieves a list of veterinarians from the repository and returns them wrapped in a Vets object for JSON serialization.,A Vets object containing a list of veterinarian objects.,HTTP GET endpoint mapping,Database query through repository pattern,JSON response serialization,1380,498,124
src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java,org.springframework.samples.petclinic.vet.VetRepository,"org.springframework.samples.petclinic.vet.VetRepository{name=findAll,return=java.util.Collection<org.springframework.samples.petclinic.vet.Vet>,parameters=[]}",5a68fd64fab8f26ff7350069c95688d9dca14beaf7a303b67843b34b0db4ff8d,Retrieves all veterinarians from the data store in a read-only transaction and caches the results.,A collection of Vet objects representing all veterinarians in the system.,Database query to retrieve all Vet records,Database transaction management with read-only optimization,Application-level caching with 'vets' cache region,1574,451,136
src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java,org.springframework.samples.petclinic.vet.VetRepository,"org.springframework.samples.petclinic.vet.VetRepository{name=findAll,return=org.springframework.data.domain.Page<org.springframework.samples.petclinic.vet.Vet>,parameters=[org.springframework.data.domain.Pageable]}",19088e2c4c6498a6bdbe4f9c036e3d6156a29b3c98e0c1feeeb4526622bcaddc,Retrieves all veterinarians from the data store in paginated format.,A paginated collection of Vet objects containing veterinarian data.,Database query with pagination,Caching with Spring Cache,Read-only transaction management,1243,481,114
