Build tool,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-logging,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,ch.qos.logback,logback-classic,1.5.22,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.slf4j,slf4j-api,2.0.17,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,ch.qos.logback,logback-core,1.5.22,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.apache.logging.log4j,log4j-to-slf4j,2.25.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.apache.logging.log4j,log4j-api,2.25.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.slf4j,jul-to-slf4j,2.0.17,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,jakarta.annotation,jakarta.annotation-api,3.0.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.yaml,snakeyaml,2.5,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-micrometer-metrics,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,io.micrometer,micrometer-core,1.16.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.hdrhistogram,HdrHistogram,2.2.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.latencyutils,LatencyUtils,2.0.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-micrometer-observation,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-actuator-autoconfigure,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-actuator,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-health,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,io.micrometer,micrometer-jakarta9,1.16.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.webjars.npm,font-awesome,4.7.0,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.testcontainers,testcontainers-junit-jupiter,2.0.3,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.testcontainers,testcontainers,2.0.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.github.docker-java,docker-java-api,3.7.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.fasterxml.jackson.core,jackson-annotations,2.20,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.github.docker-java,docker-java-transport-zerodep,3.7.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.github.docker-java,docker-java-transport,3.7.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,net.java.dev.jna,jna,5.18.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.apache.commons,commons-compress,1.28.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,commons-codec,commons-codec,1.19.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,commons-io,commons-io,2.20.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.apache.commons,commons-lang3,3.19.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.rnorth.duct-tape,duct-tape,1.0.8,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.jetbrains,annotations,17.0.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-docker-compose,4.0.1,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,tools.jackson.core,jackson-databind,3.0.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,tools.jackson.core,jackson-core,3.0.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,tools.jackson,jackson-bom,3.0.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.testcontainers,testcontainers-mysql,2.0.3,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.testcontainers,testcontainers-jdbc,2.0.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.testcontainers,testcontainers-database-commons,2.0.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.postgresql,postgresql,42.7.8,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.checkerframework,checker-qual,3.49.5,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-webmvc-test,4.0.1,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-webmvc,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-jackson,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-jackson,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-tomcat,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-tomcat-runtime,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-tomcat,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-web-server,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-web,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.apache.tomcat.embed,tomcat-embed-core,11.0.15,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.apache.tomcat.embed,tomcat-embed-el,11.0.15,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.apache.tomcat.embed,tomcat-embed-websocket,11.0.15,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-webmvc,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-http-converter,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-servlet,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-webmvc,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-jackson-test,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-test,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,jakarta.xml.bind,jakarta.xml.bind-api,4.0.4,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,jakarta.activation,jakarta.activation-api,2.1.4,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-test-autoconfigure,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-test,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-test,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.jayway.jsonpath,json-path,2.10.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,net.minidev,json-smart,2.6.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,net.minidev,accessors-smart,2.6.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.ow2.asm,asm,9.7.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.assertj,assertj-core,3.27.6,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,net.bytebuddy,byte-buddy,1.17.8,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.awaitility,awaitility,4.3.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.hamcrest,hamcrest,3.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.junit.platform,junit-platform-launcher,6.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.junit.platform,junit-platform-engine,6.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.junit.platform,junit-platform-commons,6.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.junit,junit-bom,6.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.opentest4j,opentest4j,1.3.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.mockito,mockito-junit-jupiter,5.20.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.junit.jupiter,junit-jupiter-api,6.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.mockito,mockito-core,5.20.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,net.bytebuddy,byte-buddy-agent,1.17.8,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.objenesis,objenesis,3.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.junit.jupiter,junit-jupiter,6.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.junit.jupiter,junit-jupiter-engine,6.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.junit.jupiter,junit-jupiter-params,6.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.skyscreamer,jsonassert,1.5.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.vaadin.external.google,android-json,0.0.20131108.vaadin1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.xmlunit,xmlunit-core,2.10.4,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-webmvc-test,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-resttestclient,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-testcontainers,4.0.1,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.webjars,webjars-locator-lite,1.1.2,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-cache,4.0.1,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-cache,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-context-support,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.webjars.npm,bootstrap,5.3.8,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.h2database,h2,2.4.240,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.mysql,mysql-connector-j,9.5.0,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-data-jpa,4.0.1,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-data-jpa,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-hibernate,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.hibernate.orm,hibernate-core,7.2.0.Final,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.glassfish.jaxb,jaxb-runtime,4.0.6,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.glassfish.jaxb,jaxb-core,4.0.6,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.eclipse.angus,angus-activation,2.0.3,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.glassfish.jaxb,txw2,4.0.6,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.sun.istack,istack-commons-runtime,4.1.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.antlr,antlr4-runtime,4.13.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.hibernate.models,hibernate-models,1.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.jboss.logging,jboss-logging,3.6.1.Final,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.fasterxml,classmate,1.7.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,jakarta.persistence,jakarta.persistence-api,3.2.0,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,jakarta.transaction,jakarta.transaction-api,2.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,jakarta.inject,jakarta.inject-api,2.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-jpa,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-jdbc,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-sql,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-transaction,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-persistence,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-tx,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-jdbc,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-orm,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-data-commons,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.data,spring-data-commons,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.data,spring-data-jpa,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework,spring-aspects,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.aspectj,aspectjweaver,1.9.25.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-jdbc,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,com.zaxxer,HikariCP,7.0.2,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-validation,4.0.1,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-validation,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.hibernate.validator,hibernate-validator,9.0.1.Final,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,jakarta.validation,jakarta.validation-api,3.1.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-restclient-test,4.0.1,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-restclient,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-restclient,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-http-client,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-restclient-test,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-thymeleaf,4.0.1,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-thymeleaf,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.thymeleaf,thymeleaf-spring6,3.1.3.RELEASE,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.thymeleaf,thymeleaf,3.1.3.RELEASE,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.attoparser,attoparser,2.0.7.RELEASE,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.unbescape,unbescape,1.1.6.RELEASE,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,javax.cache,cache-api,1.1.1,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-data-jpa-test,4.0.1,true,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-starter-jdbc-test,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-jdbc-test,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-data-jpa-test,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,4.0.0-SNAPSHOT,org.springframework.boot,spring-boot-jpa-test,4.0.1,false,
